nome,genero,data_nascimento,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
ROSIANE MODESTO  DE OLIVEIRA,F,20/02/1978,77,9,6,0,0,4,0,197955.03,16532.25,28174.06,22572.8,28359.47,28108.83,26531.02,14867.91,6958.44,8464.46,17101.98,283.81,,1056422.1,109718.66,110767.63,111653.67,111653.67,109880.49,109891.34,111617.27,97483.92,90265.59,93489.86,,,33763.0
SAMIA DE SOUZA BOMFIM,F,22/08/1989,78,14,0,32,0,3,0,312644.24000000005,29863.31,33173.07,52100.08,33373.57,49527.82,25800.86,31637.36,25034.27,10727.26,21406.64,0.0,,1089070.53,101425.05,108439.14,108239.71,106353.47,110257.66,110871.1,110871.1,110871.1,110871.1,110871.1,,,33763.0
SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,F,11/04/1984,53,35,4,0,0,3,0,399814.94999999995,47717.67,50310.81,47454.5,20489.75,41030.4,35713.64,41489.54,36394.17,37347.57,41866.9,0.0,,1045548.64,104351.76,98699.47,100259.52,100363.57,99170.39,111192.45,104911.24,108772.24,109791.3,108036.7,,,33763.0
SORAYA ALENCAR DOS SANTOS,F,04/12/1958,90,2,0,29,0,16,0,241340.35999999996,30377.64,25882.69,44839.17,32605.66,18501.89,34461.17,25720.88,19262.46,5904.46,3618.71,165.63,,1088262.38,109912.12,110159.23,104418.43,104366.11,108917.92,108917.92,109011.86,110852.93,110852.93,110852.93,,,33763.0
SILVIA CRISTINA AMANCIO CHAGAS,F,15/01/1974,89,2,1,55,5,31,0,325680.0800000001,38497.24,41381.49,41593.07,52095.78,77841.57,30489.93,21356.3,8189.34,4412.39,7253.38,2569.59,,1112657.25,111374.48,110870.15,110767.11,111370.23,111247.85,111259.6,111526.12,111514.99,111410.91,111315.81,,,33763.0
TABATA CLAUDIA AMARAL DE PONTES,F,14/11/1993,88,1,3,137,0,9,1,282725.01,38950.69,27888.06,35331.21,32068.77,49942.23,49334.59,25146.0,5016.41,3076.08,15953.95,17.02,,744732.36,90049.89,91799.32,91532.51,93743.68,102729.84,100032.77,52077.47,38232.71,30268.49,54265.68,,,33763.0
TALIRIA PETRONE SOARES,F,09/04/1985,76,14,2,27,19,32,0,273502.64999999997,35801.22,32189.96,31865.89,45403.28,29413.08,37323.98,24098.94,23355.39,10439.8,3279.24,331.87,,1114287.26,111647.51,111647.51,111647.51,111555.29,111584.31,111647.53,111647.53,110216.76,111417.0,111276.31,,,33763.0
TEREZA CRISTINA CORREA DA COSTA DIAS,F,06/07/1954,63,2,4,59,1,6,0,144090.44,,,0.04,21629.55,17413.02,24574.99,29064.98,17058.41,14118.74,16121.69,4109.02,,682604.66,0.0,0.0,1279.5,71166.6,104538.87,108750.39,111222.82,102614.06,93234.05,89798.37,,,33763.0
TEREZA NELMA DA SILVA PORTO VIANA SOARES,F,07/10/1957,79,13,0,103,49,35,0,358627.20999999996,42581.54,41297.61,47878.77,54271.73,56885.66,33460.03,30126.11,27479.91,24072.7,573.15,0.0,,1096693.18,111471.49,109973.66,109423.19,109733.42,109422.19,104705.24,109483.86,110785.88,110860.47,110833.78,,,33763.0
VIVIANE DA COSTA REIS,F,05/08/1991,81,11,0,79,18,21,1,360325.4200000001,50505.11,33624.12,47121.22,42779.32,38398.45,36910.98,40803.83,27107.07,21698.14,21089.09,288.09,,1108885.8199999998,111413.83,111501.88,108988.28,109564.43,110684.14,111041.26,111423.0,111423.0,111423.0,111423.0,,,33763.0
