nome,genero,data_nascimento,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
DANIEL COSTA DE FREITAS,M,03/04/1982,77,0,15,3,0,0,0,294909.83,38606.89,24248.4,40255.97,47999.13,45138.9,30847.1,32894.95,25917.35,4096.46,4904.68,0.0,,1099503.46,105697.03,105697.03,109243.35,110816.55,110933.95,111423.11,111423.11,111423.11,111423.11,111423.11,,,33763.0
DANIEL TRZECIAK DUARTE,M,04/11/1986,86,6,0,31,8,6,0,212359.16999999998,9307.83,15211.53,16366.04,39352.32,18241.57,20817.46,28100.3,16051.09,16840.25,32070.78,0.0,,1044495.31,105455.53,105415.99,105436.13,105982.05,108226.36,109497.39,106036.48,94998.83,99412.79,104033.76,,,33763.0
DANILO JORGE DE BARROS CABRAL,M,21/04/1967,83,3,6,8,6,22,0,272413.48,23243.32,23195.87,25003.47,45722.17,49445.71,26152.01,32469.21,12877.47,8866.71,24597.36,840.18,,1005945.6900000001,95045.26,95045.26,94090.38,98095.56,99861.52,99861.52,100443.65,100923.05,111114.04,111465.45,,,33763.0
DAVID MICHAEL DOS SANTOS MIRANDA,M,10/05/1985,66,15,11,23,4,7,0,243844.21999999997,35259.28,43349.65,32853.62,45091.15,29890.05,33147.86,10128.77,8151.54,359.02,5613.28,0.0,,937841.64,111544.37,111544.37,56799.55,64345.04,100004.66,94914.31,97663.21,102324.88,100368.27,98332.98,,,33763.0
DANRLEI DE DEUS HINTERHOLZ,M,18/04/1973,50,7,11,17,9,27,0,217902.33,,,0.0,39413.57,38636.46,43580.07,37837.68,23198.87,19647.18,15588.5,0.0,,702641.0900000001,0.0,0.0,3313.89,88602.16,92253.84,99507.11,95073.08,107705.84,108196.0,107989.17,,,33763.0
FRANCISCO DANILO BASTOS FORTE,M,01/09/1958,86,3,3,42,2,21,0,397193.34,67906.91,48807.99,40578.79,52959.1,80716.86,57550.28,22707.17,9622.62,6546.36,9678.36,118.9,,1052260.5899999999,109573.04,105109.88,101753.78,107930.59,108735.93,108600.66,101671.79,104239.59,101843.93,102801.4,,,33763.0
DARCI DE MATOS,M,08/11/1961,80,2,10,55,3,9,0,264386.24,27456.09,36324.08,39593.29,38942.67,42279.75,18366.03,26329.15,14161.38,1290.05,19146.68,497.07,,1112429.82,111593.97,111623.31,111579.26,111659.67,111659.67,110174.35,110543.76,111508.04,111508.04,110579.75,,,33763.0
DAVID BEZERRA RIBEIRO SOARES,M,21/12/1973,63,11,3,47,12,1,2,183939.37,,,31858.14,35507.14,29111.16,37770.69,23083.39,13606.57,7900.18,4802.08,300.02,,1068591.77,103135.91,105402.63,105964.51,99800.43,107637.25,108516.33,107977.68,108297.02,111277.52,110582.49,,,33763.0
ANTÔNIO DA LUZ FURTADO,M,06/01/1972,90,1,1,73,6,18,0,282344.68,34263.89,43088.49,42959.2,32920.98,47359.21,16303.12,19852.22,12243.23,8009.7,21960.09,3384.55,,1115182.54,110967.56,111125.87,111617.2,111617.2,111617.2,111623.07,111653.61,111653.61,111653.61,111653.61,,,33763.0
EDER MAURO CARDOSO BARRA,M,14/12/1960,79,3,10,4,0,12,0,325195.22000000003,46351.28,56697.2,17871.34,52514.33,52104.65,51446.49,39019.7,6514.58,2675.65,0.0,0.0,,1101131.44,111587.65,111029.67,109774.54,111611.12,111611.12,111168.32,110779.91,107856.37,107856.37,107856.37,,,33763.0
MARCELO EDUARDO FREITAS,M,04/03/1976,80,4,8,66,1,1,0,286506.3,31421.05,43796.1,33737.54,24745.4,39348.34,29355.58,26303.93,19417.0,19550.28,18173.84,657.24,,1067668.9600000002,104088.18,105813.1,103290.21,102664.07,110724.59,111483.8,111483.8,107272.97,107289.51,103558.73,,,33763.0
WALDIR SOARES DE OLIVEIRA,M,28/11/1962,86,6,0,7,5,44,0,137419.65,14119.59,16610.96,17642.5,17254.73,17514.69,15282.52,15088.53,12955.79,10015.33,421.51,513.5,,987728.9200000002,101978.63,99618.58,96319.6,92534.14,92534.14,94998.88,101543.63,103436.75,102749.57,102015.0,,,33763.0
DIEGO LEONARDO DE ANDRADE CARVALHO,M,08/08/1977,70,22,0,7,11,9,0,201719.62000000005,27409.47,32013.45,29883.01,17554.55,41393.91,15224.17,22079.82,8663.35,7497.89,0.0,0.0,,1109625.1300000001,111580.82,111580.82,111580.82,111580.82,111580.82,111535.53,111241.15,110635.35,109154.5,109154.5,,,33763.0
PABLO OLIVA SOUZA,M,26/07/1976,78,0,14,112,0,30,0,360476.10000000003,28267.0,51491.99,65512.79,64732.08,41341.87,31189.75,32398.76,26832.2,17440.0,988.39,281.27,,977905.0800000001,99985.47,73344.51,92308.59,99950.28,106315.17,106987.85,101323.39,101342.41,107310.62,89036.79,,,33763.0
DIEGO ALEXSANDER GONCALO PAULA GARCIA,M,10/10/1984,89,3,0,134,3,43,0,255305.66,9153.29,13917.88,34929.43,39069.9,47847.45,36301.69,32663.59,20267.53,6819.55,11053.47,3281.88,,916158.19,93054.98,91310.31,97522.54,98459.58,96593.67,96173.37,99859.25,84300.62,79772.64,79111.23,,,33763.0
DENIS ANDERSON DA ROCHA BEZERRA,M,17/03/1980,88,1,3,69,1,9,0,369035.79000000004,46094.78,53674.69,52475.51,52185.85,40861.85,33475.4,24901.37,18145.39,17544.23,29104.45,572.27,,1078559.49,110743.73,108800.92,108144.99,106767.55,106327.19,107307.01,102136.31,107474.82,111617.19,109239.78,,,33763.0
DIMAS FABIANO TOLEDO JÚNIOR,M,23/05/1973,86,5,1,18,3,1,0,280254.39,30575.4,29897.78,33987.99,37782.58,34645.39,23877.46,33775.98,26291.36,16347.48,12634.33,438.64,,965287.1000000001,92717.74,90647.71,88844.0,89894.36,93796.44,94254.41,100197.24,96972.36,108044.05,109918.79,,,33763.0
DOMINGOS GOMES DE AGUIAR NETO,M,29/04/1988,79,6,7,30,6,25,0,341688.98000000004,33731.48,52313.1,36169.17,53317.93,77719.59,22751.47,19502.64,3346.59,2837.01,40000.0,0.0,,1105842.15,111544.43,111544.43,110497.19,107599.23,111235.68,111617.24,111617.24,111617.24,111617.24,106952.23,,,33763.0
LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,M,15/12/1973,67,0,25,14,0,22,0,260002.6,27501.17,33784.37,41465.77,43233.68,38833.58,24163.31,23117.56,18685.19,9168.17,0.0,49.8,,1074387.8100000003,97653.62,97653.62,108819.42,110434.31,110434.31,110434.31,110434.31,110413.15,111647.44,106463.32,,,33763.0
